  5.81116789920123562e-06  3.59213982710695706e-08 -3.77733592395257622e-11
 -1.55594403861286508e-13  1.16606207407951645e-16  3.61586600669272393e-19
 -2.05369526029516135e-22 -4.91535463585942800e-25  2.01120511504091030e-28
1957+20    19-Jun-14  120000.00   56827.50000000000            29.124020 -0.466 -4.387
 299260829221.193264  622.122028784041   ao  300   12   335.250 0.1061   2.6180
 -1.21929872919437909e-06  2.15586080883656539e+00  2.69388171902074222e-03
 -8.92852105546334648e-06 -2.95822248175998345e-08  5.91034496455438108e-11
  1.27416075563755149e-13 -1.78969591290611547e-16 -2.36410805886880778e-19
  2.03859014669849028e-22 -6.13885487357864288e-25  5.10995039722980750e-28
1957+20    19-Jun-14  170000.00   56827.70833333330            29.124020 -0.472 -7.131
 299272028012.103491  622.122028784041   ao  300   12   335.250 0.6515   2.6180
  5.55924736106438999e-09  1.22502035556776789e+00 -1.85204375129228364e-03
  1.17086964671475229e-05  2.09701724355955113e-08 -7.60075339950006779e-11
 -9.20234177277043362e-14  2.35712023967394652e-16  2.15878025920065271e-19
 -4.24674407468855309e-22 -2.99831214333434254e-25  4.72715385848778051e-28
1957+20    19-Jun-14  210000.00   56827.87500000000            29.124020 -0.484 -6.785
 299280986921.922778  622.122028784041   ao  300   12   335.250 0.0880   2.6180
 -3.12108569249652801e-08  2.16628205055799583e+00  3.05709450176402118e-03
 -7.94563535714796737e-06 -3.25369426259533281e-08  5.13606887403394507e-11
  1.40914537209917035e-13 -1.59942163178268347e-16 -3.26574904052120833e-19
  2.91671871089112655e-22  4.38523277239226259e-25 -3.07549843967237320e-28
1957+20    20-Jun-14   20000.00   56828.08333333330            29.124019 -0.486 -4.183
 299292185744.193303  622.122028784041   ao  300   12   335.250 0.6334   2.6180
 -1.74175198218214783e-05  1.32248432408023464e+00 -2.33179545006197229e-03
  1.05686460064853026e-05  2.48341842290984587e-08 -6.95261622832912901e-11
 -1.05739450565420860e-13  1.87411220241478901e-16  1.40889317185626548e-19
  9.69520748515539108e-22  1.50314836973178559e-24 -2.14931018754658008e-26
1957+20    20-Jun-14   70000.00   56828.29166666660            29.124019 -0.470 -7.075
 299303384421.007085  622.122028784041   ao  300   12   335.250 0.1788   2.6180
  2.71545556396537990e-08  2.33959983194198085e+00  1.26767956395156759e-03
 -1.27146102487295352e-05 -1.49476785887710689e-08  8.30744156660489696e-11
  6.54641523069254980e-14 -2.58246625515018119e-16 -1.50476317922514304e-19
  4.68485464072129005e-22  1.95792992986161465e-25 -5.36660986524156746e-28
1957+20    20-Jun-14  120000.00   56828.50000000000            29.124019 -0.456 -4.512
 299314583161.800063  622.122028784041   ao  300   12   335.250 0.7243   2.6180
  8.08884816612181687e-06  1.07122967844650030e+00 -4.23167201503564169e-04
  1.38747186654675814e-05  4.33910921411119178e-09 -8.96051301539570474e-11
 -2.03422345519922477e-14  2.70759709838303817e-16  1.08388610318481458e-19
 -1.31075371746665005e-22 -1.04323673630081187e-24 -5.51251060051333977e-27
1957+20    20-Jun-14  170000.00   56828.70833333330            29.124019 -0.462 -7.055
 299325781874.140823  622.122028784041   ao  300   12   335.250 0.2697   2.6180
 -5.07931495483462947e-08  2.34903831145256037e+00 -5.45567716496106426e-04
 -1.35119303056126863e-05  6.76124825317947119e-09  8.84741496479955754e-11
 -3.01256035283404903e-14 -2.74425981480482366e-16  7.11521078343343898e-20
  4.91475803976400294e-22 -1.00360168031787596e-25 -5.22304952839352059e-28
