1957+20    16-Jun-14  123000.00   56824.52083333330            29.124020 -0.494 -4.534
 299100687229.181206  622.122028784041   ao  300   12   350.000 0.3062   2.6180
 -1.32992112143476976e-05  2.42475350964200898e+00 -1.45034722676186129e-03
 -1.25062162826109566e-05  1.55642049756515967e-08  8.22638759198145820e-11
 -6.82650829067949015e-14 -2.40786706835889820e-16  1.88721476700482557e-19
 -6.72870699743575580e-23 -7.42817238183750397e-25  6.39662881898520532e-27
1957+20    16-Jun-14  173000.00   56824.72916666660            29.124020 -0.501 -7.074
 299111885923.307407  622.122028784041   ao  300   12   350.000 0.8516   2.6180
 -1.88590697225432535e-08  1.38046664650370365e+00  2.40330051446131744e-03
  1.06842350648771647e-05 -2.52890986663186471e-08 -6.94632507082042658e-11
  1.09485216351765332e-13  2.16305352465105583e-16 -2.55297168786011853e-19
 -3.96140939932564203e-22  3.50646262755602470e-25  4.72597126085148369e-28
1957+20    16-Jun-14  213000.00   56824.89583333330            29.124020 -0.513 -5.840
 299120844986.026996  622.122028784041   ao  300   12   350.000 0.2881   2.6180
 -8.79937455518231548e-07  2.52135618675904372e+00 -9.67356042107234962e-04
 -1.33160302560896641e-05  1.11831591586579938e-08  8.62257019883030421e-11
 -4.90982494060097632e-14 -2.65426726954608444e-16  1.08711955565185728e-19
  4.01903679018827333e-22 -3.10821193850883061e-26  8.28546394304265801e-28
1957+20    17-Jun-14   23000.00   56825.10416666660            29.124020 -0.514 -3.371
 299132043713.408375  622.122028784041   ao  300   12   350.000 0.8335   2.6180
 -2.17435947360601622e-05  1.38791614597505908e+00  1.91465738290800972e-03
  1.14118563290891860e-05 -2.14155947975632164e-08 -7.44547431525073057e-11
  9.25213366755455097e-14  1.56988576668286196e-16 -1.03894692281944145e-19
  2.29607820257278231e-21 -2.70287486918529249e-24 -3.15714260521490772e-26
1957+20    17-Jun-14   73000.00   56825.31249999990            29.124020 -0.497 -7.016
 299143242549.632093  622.122028784041   ao  300   12   350.000 0.3789   2.6180
 -1.15948922449482517e-07  2.26858110575245853e+00 -2.87300707691616865e-03
 -8.93939359814344946e-06  3.00807273705176210e-08  5.84708055141748214e-11
 -1.30027292705236333e-13 -1.81297109768481093e-16  3.00506483140148221e-19
  3.24658973698245579e-22 -3.99958057456695502e-25 -3.47504241134964660e-28
1957+20    17-Jun-14  123000.00   56825.52083333330            29.124020 -0.484 -4.370
 299154441201.309023  622.122028784041   ao  300   12   350.000 0.9243   2.6180
 -9.59073743169586157e-06  1.54730554558835443e+00  3.28441135338442816e-03
  5.82387274882754365e-06 -3.59165715364877018e-08 -3.72771655608010399e-11
  1.55016431427237673e-13  1.27201617173378755e-16 -2.95805483239302793e-19
 -5.87391808318767745e-22 -6.16764859383718731e-25  4.70088759007588964e-27
1957+20    17-Jun-14  173000.00   56825.72916666660            29.124020 -0.492 -6.967
 299165640048.085404  622.122028784041   ao  300   12   350.000 0.4698   2.6180
 -2.07820488627025179e-07  1.92195405357288296e+00 -3.49328129325741183e-03
 -1.83544192596703208e-06  3.88371701884527012e-08  1.22903461483091279e-11
 -1.69370475947340295e-13 -3.86391306578703242e-17  3.92144735845220025e-19
  7.21830954664803376e-23 -5.23246921771917602e-25 -8.53390059491659010e-29
1957+20    17-Jun-14  210000.00   56825.87500000000            29.124020 -0.502 -6.823
 299173479084.989170  622.122028784041   ao  300   12   350.000 0.8517   2.6180
  2.50392883927030852e-08  1.38658978730599913e+00  2.38959533826016120e-03
  1.05389362059733831e-05 -2.52635021082844146e-08 -6.93326676373955655e-11
  1.09451069023998581e-13  2.16297911253664225e-16 -2.55215306302268495e-19
 -3.96301258482579894e-22  3.50322910045254569e-25  4.65028034549658880e-28
1957+20    18-Jun-14   20000.00   56826.08333333330            29.124020 -0.506 -3.569
 299184677929.316835  622.122028784041   ao  300   12   350.000 0.3971   2.6180
 -4.78667607609565421e-05  2.24253811919315993e+00 -3.05052175786506893e-03
 -7.88063298044773079e-06  3.26659728173855770e-08  5.18001277236019743e-11
 -1.40943654766036813e-13 -2.70430271665598143e-16  3.49470697596612150e-19
  4.54207748645986220e-21 -1.58218420880113545e-24 -5.76028079803056645e-26
1957+20    18-Jun-14   70000.00   56826.29166666660            29.124020 -0.490 -7.023
 299195876585.374350  622.122028784041   ao  300   12   350.000 0.9425   2.6180
 -4.31856328197977035e-08  1.63499619861114143e+00  3.32712188464116040e-03
  4.20213654605091449e-06 -3.73693379153444407e-08 -2.73401742882456891e-11
  1.63429566605489323e-13  8.48019399262089409e-17 -3.82003281468083838e-19
 -1.51290023190819893e-22  5.24759659946050386e-25  1.44040375917707230e-28
1957+20    18-Jun-14  120000.00   56826.50000000000            29.124020 -0.475 -3.726
 299207075429.063708  622.122028784041   ao  300   12   350.000 0.4880   2.6180
  6.46820995103304652e-05  1.78842356952013626e+00 -3.65315825159285255e-03
 -1.64540229954040896e-07  3.94113112186266330e-08  3.25837985418177444e-12
